JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    153        8.97        3       1       61.8          0.0       0.0       0.0          0.28         11
    154        9.06        5       3       36.8        -24.0      12.0      -8.0          1.11         26
    155        9.15        9       1       64.4          0.0       0.0       0.0          0.51         53
    156        9.16        1      10        0.0          0.0       0.0       0.0          1.59         58
    157        9.17       10       1       53.1          0.0       0.0       0.0          0.34         30
    158        9.19        6       6       28.6          0.0       0.0       0.0          1.24         17
    159        9.25        6       7       12.5          0.0       0.0       0.0          0.99          7
    160        9.25       11       1       28.8          0.0       0.0       0.0          0.08         54
    161        9.32        1       4        0.0          0.0       0.0       0.0          1.92         63
    162        9.33        3       1       58.2          0.0       0.0       0.0          0.07         13
    163        9.36       11       1       45.9          0.0       0.0       0.0          0.07         30
    164        9.39        3       1       72.8          0.0       0.0       0.0          0.44         51
    165        9.47        4       1       36.2          0.0       0.0       0.0          0.02         15
    166        9.48        4       1       32.4          0.0       0.0       0.0          0.01         28
    167        9.52        4       1       54.5          0.0       0.0       0.0          0.01         10
    168        9.56        6       1       39.4          0.0       0.0       0.0          1.34         18
    169        9.64        7       1       46.5          0.0       0.0       0.0          0.00         20
    170        9.64       10       1       35.1          0.0       0.0       0.0          0.33         10
    171        9.68        8       2       19.2          0.0       0.0       0.0          0.00         52
    172        9.68       10       1       43.9          0.0       0.0       0.0          0.17         31
    173        9.74        9       1       67.2          0.0       0.0       0.0          0.51          5
    174        9.76        6       5       59.8          0.0       0.0       0.0          0.31         14
    175        9.81        5       3       45.8         28.0      26.0     -10.0          1.44         43
    176        9.82       10       1       50.0          0.0       0.0       0.0          0.16         46
    177        9.95        8       1       59.6          0.0       0.0       0.0          0.00         60
    178        9.95       10       1       38.3          0.0       0.0       0.0          0.51         54
    179       10.04        1       8        0.0          0.0       0.0       0.0          2.62         22
    180       10.07       10       1       34.0          0.0       0.0       0.0          0.36         48
    181       10.07        4       1       70.8          0.0       0.0       0.0          0.01         42
    182       10.11        7       2       30.4          0.0       0.0       0.0          0.00         19
    183       10.13        4       2       38.9          0.0       0.0       0.0          0.40         40
    184       10.14       10       1       38.7          0.0       0.0       0.0          0.09          3
    185       10.47        4       1       63.8          0.0       0.0       0.0          0.02         24
    186       10.49       10       1       40.1          0.0       0.0       0.0          0.25         62
    187       10.50        6       7       11.8          0.0       0.0       0.0          0.30         29
    188       10.52        5       1       44.7        -57.0      27.0     -21.0          0.88         51
    189       10.69        4       1       63.5          0.0       0.0       0.0          0.01         24
    190       10.72        2       1       27.8          0.0       0.0       0.0          0.39         59
    191       10.76       10       1       45.1          0.0       0.0       0.0          0.16         31
    192       10.80        6       9       23.2          0.0       0.0       0.0          1.85         57
    193       10.89       10       1       43.6          0.0       0.0       0.0          0.21         56
    194       10.96        6       1       46.2          0.0       0.0       0.0          0.31         13
    195       11.03       12       2       23.6          0.0       0.0       0.0          1.21         10
    196       11.06        5       2       37.0        -38.0     -27.0     -14.0          0.71         52
    197       11.10        9       1       64.8          0.0       0.0       0.0          0.06         53
    198       11.18        4       1       57.1          0.0       0.0       0.0          0.01          7
    199       11.19        8       2       27.9          0.0       0.0       0.0          0.00         43
    200       11.23        3       1       73.7          0.0       0.0       0.0          0.59         12

