JW=  1    A=   74.38    NA=    93    Q(I)=0.07/0.02/0.16/0.20/0.12/0.04/0.05/0.10/0.14/0.06/0.01/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     49       14.69       10       1       48.4          0.0       0.0       0.0          0.51          9
     50       14.96        8       2       26.9          0.0       0.0       0.0          0.00          7

JW=  7    A=   24.12    NA=    65    Q(I)=0.01/0.01/0.02/0.02/0.01/0.10/0.15/0.40/0.04/0.19/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     51       15.23       11       1       31.6          0.0       0.0       0.0          1.94         62
     52       15.31        5       1       74.4          3.0      -2.0      -2.0          4.56         45
     53       17.71        8       2       22.1          0.0       0.0       0.0          0.00         39
     54       17.72        7       2       34.1          0.0       0.0       0.0          0.00          6
     55       17.76        8       1       54.7          0.0       0.0       0.0          0.00         34
     56       17.83        6       2       51.4          0.0       0.0       0.0          2.74         21
     57       18.18        8       1       54.7          0.0       0.0       0.0          0.00          7
     58       18.45       12       1       68.6          0.0       0.0       0.0          4.62         53
     59       18.55        2       1       23.9          0.0       0.0       0.0          1.25          5
     60       18.62        7       1       52.9          0.0       0.0       0.0          0.00          1
     61       19.31       10       1       41.0          0.0       0.0       0.0          0.98         48
     62       19.77       10       1       44.2          0.0       0.0       0.0          0.27         46
     63       19.98       10       1       46.7          0.0       0.0       0.0          0.82          2
     64       20.15        8       2       23.5          0.0       0.0       0.0          0.00         52
     65       20.19       10       1       33.4          0.0       0.0       0.0          0.31         42

JW=  8    A=   60.59    NA=    11    Q(I)=0.07/0.09/0.03/0.05/0.29/0.09/0.02/0.02/0.08/0.14/0.09/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00       11       1       52.2          0.0       0.0       0.0          4.31         63
      2        2.82       10       1       53.7          0.0       0.0       0.0          2.36         62
      3        3.89        4       2       40.7          0.0       0.0       0.0          3.01         57
      4        4.08        9       1       49.0          0.0       0.0       0.0          2.06         16
      5       14.06       11       1       52.8          0.0       0.0       0.0          2.58         45
      6       18.73        5       1       61.3         -9.0      -7.0     -18.0          5.26         14
      7       25.01        2       1       34.2          0.0       0.0       0.0          4.42         54
      8       28.79        6       4       40.3          0.0       0.0       0.0          2.49         59
      9       39.51        6       7       10.1          0.0       0.0       0.0          3.63         12
     10       46.33        5       2       32.5         13.0      12.0      25.0          1.29          9
     11       48.71        9       1       61.5          0.0       0.0       0.0          1.18         61

JW=  9    A=    2.19    NA=     1    Q(I)=0.08/0.07/0.03/0.05/0.34/0.10/0.02/0.02/0.09/0.13/0.06/0.01/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        5       1       54.0         -4.0      -6.0       9.0          0.00         30

JW= 10    A=   54.81    NA=   122    Q(I)=0.03/0.01/0.05/0.06/0.04/0.08/0.12/0.33/0.07/0.16/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        5       2       20.0         53.0     -57.0     -41.0          5.92         23
      2        0.03        7       2       41.2          0.0       0.0       0.0          0.00         56
      3        0.78        4       2       34.1          0.0       0.0       0.0          3.60         11
